Time,Gyro_p1_01,Gyro_p1_02
0.000,0.000,0.000,
0.025,0.000,0.000,
0.050,0.000,0.000,
0.075,0.000,0.000,
0.100,0.000,-1.000,
0.125,0.000,-9.000,
0.150,0.000,-20.000,
0.175,-1.000,-41.000,
0.200,-2.000,-68.000,
0.225,-4.000,-109.000,
0.250,-8.000,-162.000,
0.275,-13.000,-202.000,
0.300,-17.000,-176.000,
0.325,-22.000,-229.000,
0.350,-28.000,-244.000,
0.375,-34.000,-271.000,
0.400,-41.000,-284.000,
0.425,-48.000,-298.000,
0.450,-56.000,-246.000,
0.475,-62.000,-262.000,
0.500,-67.000,-215.000,
0.525,-73.000,-215.000,
0.550,-78.000,-212.000,
0.575,-83.000,-165.000,
0.600,-87.000,-127.000,
0.625,-89.000,-95.000,
0.650,-91.000,-54.000,
0.675,-92.000,-23.000,
0.700,-93.000,-6.000,
0.725,-92.000,36.000,
0.750,-91.000,83.000,
0.775,-88.000,98.000,
0.800,-86.000,130.000,
0.825,-82.000,155.000,
0.850,-78.000,162.000,
0.875,-73.000,198.000,
0.900,-69.000,206.000,
0.925,-63.000,214.000,
0.950,-57.000,221.000,
0.975,-51.000,225.000,
1.000,-46.000,219.000,
1.025,-40.000,215.000,
1.050,-36.000,202.000,
1.075,-30.000,178.000,
1.100,-26.000,152.000,
1.125,-23.000,142.000,
1.150,-19.000,121.000,
1.175,-17.000,101.000,
1.200,-14.000,87.000,
1.225,-13.000,73.000,
1.250,-11.000,43.000,
1.275,-10.000,27.000,
1.300,-10.000,0.000,
1.325,-10.000,-34.000,
1.350,-11.000,-55.000,
1.375,-13.000,-80.000,
1.400,-15.000,-108.000,
1.425,-19.000,-139.000,
1.450,-22.000,-155.000,
1.475,-26.000,-171.000,
1.500,-31.000,-196.000,
